Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
AS,Fortress,37.03,67.33,Consumer Cyclical,4.43,5.6,12.87,7.29,1.511,1.74,20.54,1.28,47.43478,28.1
EOG,Fortress,105.32,10.46,Energy,3.96,19.98,33.22,40.18,1.624,60.55,57.5,2.125,134.10767,27.33
ZTS,Fortress,124.65,20.95,Healthcare,6.32,31.02,39.33,36.21,3.643,14.92,55.24,2.05,158.215,26.93
GNRC,Fortress,160.85,30.7,Industrials,4.35,12.25,9.25,13.59,2.183,5.56,9.44,1.66667,203.41176,26.46
ELF,Fortress,89.99,64.28,Consumer Defensive,8.24,15.14,2.24,11.51,2.701,9.74,5.37,1.66667,113.76923,26.42
ANET,Fortress,129.83,49.18,Technology,26.95,26.03,42.38,36.7,3.254,100.0,163.49,1.5,163.7924,26.16
PGNY,Fortress,24.52,39.55,Healthcare,10.06,15.38,6.87,5.23,2.955,100.0,2.11,1.63636,30.5,24.39
AGI,Fortress,38.9,30.39,Basic Materials,6.05,10.53,80.68,28.96,1.717,35.88,16.33,1.38462,48.25,24.04
GLOB,Fortress,68.2,31.14,Technology,3.09,9.11,9.76,10.92,1.934,8.34,3.0,2.17391,84.40909,23.77
GNTX,Fortress,23.93,14.16,Consumer Cyclical,13.38,18.68,18.75,21.19,2.962,100.0,5.25,2.25,29.4375,23.02
URBN,Fortress,69.48,13.16,Consumer Cyclical,4.31,14.7,9.57,7.39,1.509,83.41,6.23,2.46154,85.41667,22.94
GIL,Fortress,63.22,20.33,Consumer Cyclical,5.28,20.83,23.23,19.48,2.008,7.02,11.71,1.53846,77.55556,22.68
ULS,Fortress,75.0,44.91,Industrials,6.62,22.82,19.8,14.74,1.328,8.55,15.08,2.0,91.71,22.28
DXCM,Fortress,69.54,38.63,Healthcare,5.32,20.49,20.05,13.92,1.565,38.32,27.27,1.48276,85.0,22.23
TT,Fortress,389.53,29.76,Industrials,6.42,24.72,20.22,15.86,1.205,14.6,86.68,2.33333,476.1237,22.23
AAON,Fortress,94.36,77.98,Industrials,16.0,20.94,3.99,16.02,3.035,72.12,7.7,1.5,115.25,22.14
YUMC,Fortress,47.55,19.73,Consumer Cyclical,3.83,13.58,12.6,8.82,1.32,100.0,16.85,1.33333,58.05955,22.1
EXLS,Fortress,42.77,28.9,Technology,9.21,21.13,14.37,14.12,2.905,14.57,6.91,1.66667,52.14286,21.91
PLAB,Fortress,34.53,15.14,Technology,7.86,13.54,24.15,26.03,5.366,4033.44,2.04,1.0,42.0,21.63
OLLI,Fortress,116.61,32.3,Consumer Defensive,7.26,11.91,9.03,10.84,2.5,100.0,7.15,1.73333,141.66667,21.49
TSCO,Fortress,51.01,24.64,Consumer Cyclical,5.27,19.6,9.21,10.1,1.301,26.88,26.95,2.03226,61.51852,20.6
CDNS,Fortress,317.45,82.03,Technology,14.41,19.35,35.09,29.17,3.048,19.37,86.5,1.57692,381.32422,20.12
QCOM,Fortress,159.42,31.82,Technology,6.3,32.51,26.24,28.58,2.816,20.07,172.01,2.32432,191.34615,20.03
NKE,Fortress,64.38,37.65,Consumer Cyclical,4.44,14.23,8.09,11.53,2.063,100.0,95.31,2.02564,76.9697,19.56
CPRT,Fortress,41.04,25.18,Industrials,29.73,18.04,37.29,37.83,7.939,,39.73,2.33333,48.88889,19.12
ZM,Fortress,80.96,15.75,Technology,8.97,8.95,25.24,15.14,4.448,100.0,24.23,2.13333,96.34615,19.0
MGY,Fortress,22.6,12.56,Energy,4.52,20.06,31.23,50.75,1.472,35.32,4.31,1.84211,26.88889,18.98
TMHC,Fortress,63.27,7.62,Consumer Cyclical,3.93,14.21,14.59,14.71,7.988,,6.18,1.875,75.25,18.93
ABT,Fortress,121.76,15.3,Healthcare,5.57,11.26,19.39,17.78,1.703,13.55,211.92,1.71429,144.7492,18.88
CGNX,Fortress,40.92,62.95,Technology,9.93,6.31,20.86,21.08,3.964,100.0,6.86,1.90476,48.35,18.16
ANF,Fortress,104.13,10.02,Consumer Cyclical,5.34,35.93,12.0,9.51,1.384,64.65,4.9,2.08333,122.77778,17.91
SYK,Fortress,363.78,47.87,Healthcare,5.43,13.2,22.27,18.09,1.849,100.0,139.12,1.86667,427.395,17.49
GMAB,Fortress,32.25,14.14,Healthcare,11.88,22.92,44.91,35.78,6.034,77.37,19.99,1.5,37.81429,17.25
IMAX,Fortress,37.43,52.72,Communication Services,3.17,7.38,27.25,7.82,3.942,5.66,2.01,1.36364,43.72727,16.82
JHX,Fortress,23.66,53.77,Basic Materials,4.52,15.53,11.96,22.3,1.793,16.74,13.72,1.125,27.63571,16.8
DHT,Fortress,13.26,10.69,Energy,3.63,15.43,37.76,18.35,2.411,6.99,2.13,1.2,15.46,16.59
ALC,Fortress,79.0,37.62,Healthcare,3.3,5.16,12.85,9.99,2.118,7.54,38.95,1.85714,91.80118,16.2
FSLR,Fortress,243.73,18.69,Technology,5.43,14.38,29.23,16.04,1.91,37.18,26.15,1.71053,281.6509,15.56
RPM,Fortress,110.91,21.37,Basic Materials,3.91,14.1,11.55,11.25,2.219,9.21,14.22,1.66667,127.35714,14.83
ETN,Fortress,343.75,34.38,Industrials,5.59,15.38,19.79,15.59,1.28,36.12,133.82,1.76667,394.2273,14.68
EW,Fortress,84.35,37.0,Healthcare,12.59,13.57,27.37,30.42,4.004,79.19,49.52,1.87879,96.69357,14.63
CRH,Fortress,122.97,24.59,Basic Materials,3.58,13.21,18.0,12.3,1.453,8.7,82.22,1.58333,140.3375,14.12
MAT,Fortress,21.04,15.94,Consumer Cyclical,3.25,14.18,22.18,12.26,1.598,6.24,6.78,1.85714,24.0,14.07
XYL,Fortress,146.13,37.57,Industrials,4.94,7.99,15.65,11.39,1.957,25.7,35.58,1.90909,166.17647,13.72
ISRG,Fortress,535.068,70.96,Healthcare,53.7,13.82,30.33,27.54,4.728,100.0,191.81,2.05882,608.25726,13.68
RMD,Fortress,257.58,26.39,Healthcare,12.94,23.58,34.62,29.4,2.888,,37.6,2.10526,291.8,13.29
DRS,Fortress,42.57,43.0,Industrials,4.61,9.29,9.79,11.57,2.002,13.57,11.33,1.5,48.1,12.99
TEL,Fortress,241.01,39.06,Technology,5.48,16.44,19.77,18.3,1.556,42.61,70.9,1.66667,272.17648,12.93
REGN,Fortress,733.04,17.57,Healthcare,7.99,14.3,29.56,38.46,4.063,87.59,77.69,1.69231,826.03845,12.69
CALM,Fortress,77.92,3.29,Consumer Defensive,9.2,57.77,16.18,21.94,8.017,2620.51,3.71,2.2,87.75,12.62
KO,Fortress,70.44,23.32,Consumer Defensive,4.47,19.58,32.37,28.75,1.211,8.9,303.15,1.6087,79.23391,12.48
STM,Fortress,28.03,48.33,Technology,4.06,9.36,6.62,20.51,3.223,23.09,24.91,2.21429,31.44615,12.19
VRT,Fortress,176.93,66.77,Industrials,7.49,15.17,20.49,10.02,1.831,6.09,67.65,1.48,198.28125,12.07
NXPI,Fortress,237.103,29.31,Technology,3.51,16.43,28.24,26.82,2.375,8.79,59.78,1.51515,264.5125,11.56
MPC,Fortress,175.63,18.68,Energy,3.36,12.52,4.97,6.44,1.315,5.55,53.4,2.15789,195.38889,11.25
J,Fortress,139.94,54.45,Industrials,3.08,8.72,10.52,6.24,1.301,4.73,16.62,2.0,155.46667,11.1
VLTO,Fortress,102.67,28.05,Industrials,5.35,23.23,23.22,22.74,1.568,10.61,25.49,2.05263,114.05882,11.09
CMG,Fortress,39.96,35.36,Consumer Cyclical,8.05,24.7,16.13,14.83,1.542,100.0,53.58,1.7027,44.35294,10.99
DECK,Fortress,100.69,14.96,Consumer Cyclical,12.64,44.52,22.82,20.3,3.067,354.51,14.94,2.5,111.7319,10.97
G,Fortress,45.91,14.81,Technology,3.92,18.8,15.86,13.53,1.514,9.51,8.0,2.25,50.90909,10.89
DHR,Fortress,235.99,48.56,Healthcare,4.98,6.96,20.75,24.05,1.519,17.71,168.98,1.4,261.5,10.81
BURL,Fortress,306.31,35.21,Consumer Cyclical,3.34,11.46,5.75,6.25,1.208,10.71,19.28,1.66667,339.2857,10.77
COO,Fortress,82.37,44.05,Healthcare,3.83,5.91,13.54,16.25,1.893,6.66,16.38,2.22222,91.0,10.48
DKS,Fortress,215.32,17.55,Consumer Cyclical,4.51,21.31,5.56,12.61,1.572,29.67,19.37,2.11111,237.68182,10.39
PNR,Fortress,107.3,27.3,Industrials,5.31,14.55,23.98,17.83,1.462,9.11,17.59,2.0,118.26316,10.22
SHLS,Fortress,9.27,48.79,Technology,4.99,7.26,18.78,16.57,2.19,3.74,1.55,1.95238,10.2,10.03
NVT,Fortress,112.5,62.5,Industrials,4.16,9.02,16.03,15.69,1.574,5.05,18.15,1.28571,123.61846,9.88
STLD,Fortress,173.58,22.99,Basic Materials,5.84,15.95,10.52,20.15,3.107,36.19,25.55,1.45455,190.37183,9.67
ABNB,Fortress,130.66,31.18,Consumer Cyclical,4.88,23.64,39.68,17.47,1.392,,79.99,2.44186,143.22858,9.62
Q,Fortress,97.25,37.26,Technology,9.53,7.85,21.71,19.13,1.781,3.21,20.37,1.22222,106.0,9.0
HWM,Fortress,224.89,63.35,Industrials,10.88,17.45,25.66,18.61,2.353,8.6,90.52,1.43478,244.996,8.94
FIVE,Fortress,196.69,35.31,Consumer Cyclical,4.41,9.04,4.17,10.93,1.605,,10.85,2.04167,213.7143,8.66
SN,Fortress,127.06,31.37,Consumer Cyclical,6.71,22.21,16.13,10.21,1.957,9.98,17.93,1.25,137.90636,8.54
HAS,Fortress,86.2,0.0,Consumer Cyclical,3.07,13.53,24.58,10.58,1.705,3.9,12.1,1.42857,93.53846,8.51
HALO,Fortress,71.21,15.02,Healthcare,5.16,29.89,61.51,49.45,1.587,31.79,8.37,2.11111,77.125,8.31
PPG,Fortress,110.22,19.72,Basic Materials,4.05,14.52,14.16,11.92,1.465,8.68,24.88,2.16667,119.15,8.1
NXT,Fortress,96.36,24.96,Technology,6.52,30.62,20.32,14.62,2.178,50.48,14.63,1.71429,103.80769,7.73
HON,Fortress,219.465,23.15,Industrials,3.51,15.33,18.5,18.84,1.358,7.82,147.89,2.15385,236.01,7.54
PHM,Fortress,130.23,10.05,Consumer Cyclical,6.48,25.25,17.34,20.74,6.449,8364.0,25.69,2.1875,139.6923,7.27
LLY,Fortress,1038.4,50.75,Healthcare,10.11,26.74,48.29,32.2,1.546,17.24,930.88,1.7,1110.7864,6.97
