Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),P/B Ratio,ROE %,Debt/Eq %
MATR.TO,Risky,8.35,18.15,Energy,1.32,3.22,5.53,7.41,1.872,1.55,0.51,0.67,3.66,80.14
TCL-A.TO,Strong,22.83,11.19,Consumer Cyclical,2.49,10.13,11.54,8.21,1.292,6.08,1.91,1.0,8.94,42.46
