Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%,Num_Analysts
ISRG,Fortress,575.41,Healthcare,57.67,13.82,30.33,4.728,100.0,206.27,2.05882,599.60205,4.21,29
WDC,Fortress,179.58,Technology,5.53,17.32,15.4,1.213,4.17,61.56,1.55556,187.20833,4.19,24
UPS,Fortress,99.59,Industrials,3.11,15.49,10.17,1.305,9.59,84.49,2.23333,103.82759,4.19,29
EGO,Fortress,35.695,Basic Materials,2.4,8.4,39.69,2.794,22.64,7.21,2.2,37.2,4.17,5
MRK,Fortress,106.545,Healthcare,4.27,23.91,40.8,1.661,16.69,266.13,1.89655,110.03962,3.17,26
BIIB,Fortress,176.91,Healthcare,3.02,9.57,30.72,2.716,8.61,25.95,2.2,182.06897,2.96,29
CVNA,Fortress,433.17,Consumer Cyclical,10.21,14.71,9.79,4.047,1.61,93.91,1.88462,446.43478,2.96,23
CENX,Fortress,39.035,Basic Materials,2.48,24.86,9.22,1.714,8.51,3.64,1.0,40.0,2.46,3
FDX,Fortress,292.925,Industrials,2.63,8.63,7.64,1.274,7.9,69.12,2.0,300.10715,2.46,28
FSLR,Fortress,268.17,Technology,5.81,14.38,29.23,1.91,37.18,28.78,1.66667,274.60562,2.37,32
ROST,Fortress,180.68,Consumer Cyclical,6.42,27.53,11.58,1.52,44.5,58.76,1.72222,184.875,2.3,16
CAT,Fortress,578.9,Industrials,4.77,25.02,17.75,1.384,27.12,271.2,2.17857,591.9904,2.29,25
TER,Fortress,197.26,Technology,23.21,19.87,18.89,1.759,170.8,31.38,1.64706,201.875,2.29,16
REGN,Fortress,780.425,Healthcare,8.34,14.3,29.56,4.063,87.59,82.72,1.84615,795.3822,1.91,27
MU,Fortress,294.135,Technology,8.85,14.2,44.97,2.46,21.24,331.05,1.58537,299.76315,1.83,38
NOK,Fortress,6.58,Technology,2.19,8.71,6.94,1.478,7.39,37.29,2.5,6.69625,1.77,8
B,Fortress,44.033,Basic Materials,3.74,11.18,49.01,2.944,11.89,75.29,1.68182,44.80214,1.75,14
FORM,Fortress,57.37,Technology,14.96,7.87,8.88,4.298,190.98,4.45,2.0,58.375,1.66,8
CVE,Fortress,16.865,Energy,2.34,9.6,11.0,1.729,7.27,31.81,1.52941,17.17,1.63,1
CTSH,Fortress,85.0,Technology,7.23,18.27,15.99,2.358,55.41,41.51,2.2963,86.12083,1.32,24
LLY,Fortress,1079.035,Healthcare,10.5,26.74,48.29,1.546,17.24,967.31,1.7,1093.2229,1.28,27
INCY,Fortress,99.285,Healthcare,6.88,8.39,31.63,3.195,139.87,19.49,2.28,100.09524,0.81,21
RIO,Fortress,80.42,Basic Materials,3.5,18.94,25.05,1.526,10.59,131.36,1.875,80.33333,-0.07,6
EXEL,Fortress,45.375,Healthcare,12.38,27.12,42.89,3.752,100.0,12.22,2.0,45.27778,-0.2,18
PCAR,Fortress,111.4,Industrials,3.66,16.07,9.92,5.69,100.0,58.51,2.28571,111.208,-0.21,17
