Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta,EV/EBITDA,Sector_Avg_EV_EBITDA,Discount_%,SMA_200,Trend_Dist_%,Bandwidth_%,In_Squeeze
MWA,Fortress,29.44,23.18,Industrials,4.84,17.64,18.86,13.99,4.019,14.38,4.6,1.17,14.06,21.05,33.21,25.12,17.18,17.49,No
PLAB,Fortress,38.1,16.71,Technology,8.47,13.54,24.15,26.03,5.366,4033.44,2.25,1.51,7.21,23.84,69.76,24.15,57.79,17.56,No
LPX,Fortress,97.01,31.39,Industrials,7.51,24.81,4.98,26.98,2.932,43.08,6.76,1.78,14.47,21.05,31.26,88.65,9.43,17.79,No
FLS,Fortress,86.54,32.78,Industrials,4.35,11.29,16.27,7.35,2.026,6.57,11.0,1.3,15.87,21.05,24.61,59.22,46.14,17.97,No
MAS,Fortress,76.48,19.81,Industrials,4.22,34.07,14.78,16.58,1.805,12.24,16.01,1.28,13.22,21.05,37.2,66.51,15.0,18.13,No
SHLS,Fortress,9.79,51.53,Technology,5.22,7.26,18.78,16.57,2.19,3.74,1.64,1.71,22.47,23.84,5.75,7.22,35.59,18.22,No
HAFN,Fortress,6.63,10.87,Industrials,3.25,27.25,16.77,24.63,1.476,15.86,3.32,-0.27,8.61,21.05,59.1,5.69,16.52,18.35,No
DHT,Fortress,15.48,11.82,Energy,4.12,15.43,47.41,18.35,2.796,6.99,2.49,-0.08,8.41,9.57,12.12,12.15,27.46,18.35,No
DLO,Fortress,12.82,22.89,Technology,5.38,30.69,19.68,28.06,1.456,302.44,3.78,1.1,15.73,23.84,34.02,12.77,0.43,18.42,No
MHK,Fortress,134.9,20.07,Consumer Cyclical,3.06,6.87,6.66,7.93,2.246,14.32,8.38,1.21,7.79,13.2,40.98,116.25,16.05,18.67,No
RIO,Fortress,99.52,15.85,Basic Materials,4.4,18.94,25.05,34.74,1.526,10.59,198.66,0.62,9.66,15.88,39.17,67.91,46.55,18.85,No
AEM,Fortress,217.19,31.75,Basic Materials,7.89,10.21,53.1,29.01,2.12,33.63,109.04,0.66,15.14,15.88,4.66,151.04,43.8,20.1,No
AOS,Fortress,80.22,20.84,Industrials,9.16,31.95,17.95,18.75,1.497,53.97,11.24,1.34,13.85,21.05,34.2,68.57,16.98,20.15,No
NEM,Fortress,124.6,19.38,Basic Materials,3.82,10.15,46.85,16.86,2.039,13.21,136.87,0.44,10.82,15.88,31.86,79.15,57.43,20.32,No
B,Fortress,47.64,16.26,Basic Materials,4.1,19.24,52.58,33.23,2.922,20.7,79.81,0.98,8.74,15.88,44.96,31.04,53.46,20.54,No
SOLS,Fortress,74.95,75.71,Basic Materials,5.35,19.1,17.65,23.23,1.532,5.03,11.9,,10.25,15.88,35.45,,,21.2,No
TTEK,Fortress,40.42,30.39,Industrials,4.8,14.41,12.88,9.98,1.314,10.29,10.54,0.9,18.07,21.05,14.16,35.25,14.68,21.42,No
HALO,Fortress,79.51,16.77,Healthcare,5.51,29.89,61.51,49.45,1.587,31.79,9.35,0.98,12.63,19.25,34.39,65.36,21.65,21.52,No
VSNT,Fortress,28.4,4.85,Communication Services,3.28,14.53,9.8,27.36,2.18,8.63,4.1,,1.57,15.14,89.63,,,21.54,No
BIIB,Fortress,191.2,21.75,Healthcare,3.25,6.99,19.64,23.96,2.679,6.82,28.06,0.16,8.48,19.25,55.95,148.48,28.77,22.11,No
FOX,Fortress,55.45,13.3,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,25.89,0.51,8.53,15.14,43.66,55.36,0.16,22.45,No
AU,Fortress,112.27,24.62,Basic Materials,8.24,15.64,42.49,19.41,2.581,11.39,56.68,0.62,12.61,15.88,20.59,65.96,70.21,22.45,No
Q,Fortress,114.51,43.87,Technology,11.11,7.85,21.71,19.13,1.781,3.21,23.99,,17.9,23.84,24.92,,,23.1,No
AMKR,Fortress,56.17,37.45,Technology,4.91,9.04,9.8,9.82,2.269,7.64,13.88,1.95,11.52,23.84,51.68,30.22,85.85,24.27,No
ZM,Fortress,92.15,17.93,Technology,9.95,8.95,25.24,15.14,4.448,100.0,27.58,0.9,16.39,23.84,31.25,81.75,12.72,24.52,No
ARMN,Fortress,20.07,74.33,Basic Materials,3.13,5.73,40.92,29.55,2.415,3.9,4.11,1.68,13.34,15.88,15.99,10.46,91.93,24.7,No
FSM,Fortress,11.41,13.58,Basic Materials,4.39,12.97,64.23,18.55,3.298,8.31,3.51,1.68,5.16,15.88,67.51,8.07,41.3,24.91,No
GFI,Fortress,57.27,27.4,Basic Materials,8.21,24.17,46.44,35.92,1.886,40.44,51.54,0.68,14.37,15.88,9.51,35.57,61.01,25.17,No
MGY,Fortress,26.96,15.58,Energy,5.1,20.06,29.62,50.75,1.536,35.32,5.14,0.91,5.71,9.57,40.33,22.92,17.64,25.48,No
KGC,Fortress,34.82,24.35,Basic Materials,6.61,15.62,44.25,13.05,2.83,30.33,42.57,1.26,10.88,15.88,31.49,22.43,55.26,26.21,No
STNG,Fortress,69.89,11.67,Energy,3.76,21.15,34.24,34.37,4.806,8.29,3.62,-0.29,8.27,9.57,13.58,51.21,36.49,26.31,No
ALGN,Fortress,197.51,34.96,Healthcare,5.28,16.08,15.24,19.0,1.363,100.0,14.32,1.83,16.39,19.25,14.86,159.76,23.63,27.36,No
GNRC,Fortress,214.99,41.11,Industrials,5.08,12.25,9.25,13.59,2.183,5.56,12.62,1.81,17.39,21.05,17.39,158.7,35.47,27.85,No
DECK,Fortress,115.36,16.41,Consumer Cyclical,13.7,44.52,31.38,20.3,2.856,354.51,16.81,1.15,10.77,13.2,18.41,104.43,10.47,28.23,No
CGAU,Fortress,19.84,12.32,Basic Materials,5.62,8.84,34.06,13.73,2.888,160.69,4.01,1.27,7.61,15.88,52.08,10.5,89.0,28.89,No
KMT,Fortress,40.26,28.15,Industrials,3.44,7.39,10.23,9.26,2.552,6.29,3.07,1.5,11.57,21.05,45.04,24.58,63.78,29.6,No
MU,Fortress,410.34,38.97,Technology,11.61,14.2,44.97,7.06,2.46,21.24,461.84,1.5,18.99,23.84,20.34,189.22,116.86,30.21,No
IAG,Fortress,22.49,39.46,Basic Materials,5.05,20.2,35.3,7.83,1.684,374.85,13.34,1.98,14.24,15.88,10.33,11.52,95.28,32.63,No
EGO,Fortress,46.3,25.44,Basic Materials,3.06,8.4,39.69,19.59,2.794,22.64,9.35,1.29,9.72,15.88,38.79,27.34,69.36,34.34,No
BWA,Fortress,66.1,93.1,Consumer Cyclical,3.08,6.02,8.41,9.01,2.051,7.42,14.3,1.06,7.06,13.2,46.52,40.61,62.79,34.39,No
NXT,Fortress,119.9,30.59,Technology,7.83,30.62,19.41,14.62,2.36,50.48,18.03,2.36,21.7,23.84,8.98,76.35,57.03,35.03,No
LBRT,Fortress,24.46,27.48,Energy,3.44,8.3,2.78,9.76,1.219,5.84,3.96,0.51,7.51,9.57,21.53,14.69,66.56,37.78,No
SVM,Fortress,11.47,0.0,Basic Materials,6.27,10.35,54.5,30.35,1.243,22.11,2.54,1.56,11.47,15.88,27.77,6.25,83.43,38.68,No
VAL,Fortress,88.42,15.82,Energy,3.16,12.16,21.14,6.86,1.871,5.37,6.3,1.18,8.81,9.57,7.94,49.75,77.72,67.18,No
